URL of Story,Headline,Media Outlet,Publication Date,Conflicts,Entered by,Pub Status,Internal Notes,Notes,Created
https://www.gsa.gov/portal/content/172963,GSA and Trump Organization Reach Deal on Old Post Office Lease,Press Release,2013-06-05,"General Services Administration,Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,To Discuss,061218 LW: Why is there a Trump Old Post Office and a Trump International Hotel D.C.?,,2018-05-29
https://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html,Trump Hotel Collection Announces A Luxury Resort And Residential Development In Bali,Press Release,2015-08-19,"Hary Tanoesoedibjo,Trump International Hotels Management D/B/A Trump Hotel Collection",Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/politics/trump-mortgage-failed-heres-what-that-says-about-the-gop-front-runner/2016/02/28/f8701880-d00f-11e5-88cd-753e80cd29ad_story.html?utm_term=.246ad0d15e54,Trump Mortgage failed. Here’s what that says about the GOP front-runner.,Washington Post,2016-02-29,Trump Mortgage,Lynn Walsh,Approved,,,2018-05-29
http://money.cnn.com/2016/03/14/pf/trump-mortgage/index.html,Trump Mortgage...in 2 minutes,CNN,2016-03-14,Trump Mortgage,Lynn Walsh,Approved,,,2018-05-29
http://www.indystar.com/story/news/politics/2016/05/19/donald-trump-profited-investment-carriers-parent-company/84593308/,Donald Trump profited from investment in Carrier's parent company,Indy Star,2016-05-19,Holds United Technologies,Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html?utm_term=.58393114f26e,Inside Trump’s financial ties to Russia and his unusual flattery of Vladimir Putin,Washington Post,2016-06-17,"Miss Universe (Formerly Trump Pageants),Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-05-29
http://www.politico.com/story/2016/06/trump-dc-hotel-investigation-labor-department-224678,Labor Department investigating Trump's Old Post Office project,Politico,2016-06-22,"Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,To Discuss,061218 LW: Why is there a Trump Old Post Office and a Trump International Hotel D.C.?,,2018-05-29
https://www.bloomberg.com/graphics/2016-trump-40-wall-street/,"Inside Trump’s Most Valuable Tower: Felons, Dictators and Girl Scouts",Bloomberg,2016-06-22,"40 Wall Street,Trump Tower Commercial,Trump Tower Managing Member",Lynn Walsh,To Discuss,060418 LW: Need to verify which Trump Tower company to link to this entry? Or include all of them?,,2018-05-29
http://www.newsweek.com/where-trump-irs-tax-audit-letter-488904,Is Donald Trump Really Being Audited by the IRS?,Newsweek,2016-08-10,Internal Revenue Service,Lynn Walsh,Approved,,,2018-05-29
https://www.nytimes.com/2016/08/21/us/politics/donald-trump-debt.html,Trump’s Empire: A Maze of Debts and Opaque Ties,New York Times,2016-08-20,"Trump Organization Inc.,""1290 Avenue Of The Americas, A Tenancy-In-Common"",Trump Equitable Fifth Avenue Company",Lynn Walsh,Approved,,,2018-05-29
