Conflict,ConflictDescription,ConflictStatus,MediaOutlet,Link,PublicationDate,Headline
"Trump Tower Commercial","",Active, "Reuters","https://mobile.reuters.com/article/amp/idUSKCN1S80PP","05/01/2019","Exclusive: Foreign government leases at Trump World Tower stir more emoluments concerns"
"Trump Tower Commercial","",Active, "Reuters","https://mobile.reuters.com/article/amp/idUSKCN1S80PP","05/01/2019","Exclusive: Foreign government leases at Trump World Tower stir more emoluments concerns"
"Trump Tower Condominium","",Active, "Reuters","https://mobile.reuters.com/article/amp/idUSKCN1S80PP","05/01/2019","Exclusive: Foreign government leases at Trump World Tower stir more emoluments concerns"
"Trump Tower Condominium","",Active, "Reuters","https://mobile.reuters.com/article/amp/idUSKCN1S80PP","05/01/2019","Exclusive: Foreign government leases at Trump World Tower stir more emoluments concerns"
"Mar-a-Lago Club","Mar-A-Lago is a resort and golf club located in Palm Beach, Florida. President Trump purchased Mar-a-Lago in 1985, turning it into a private club and golf course, managed by the Trump Organization, ten years later. The resort seems to be President Trump’s choice destination out of all of the properties he owns. In his first year in office, he spent more time there, a total of 52 days, than any other Trump-branded property. It is also a National Historic Landmark.",Active, "ProPublica","https://www.propublica.org/article/trump-inc-podcast-taxpayers-covered-liquor-bill-for-trump-staffers-and-more-mar-a-lago","05/01/2019","How Taxpayers Covered a $1,000 Liquor Bill for Trump Staffers (and More) at Trump’s Club"
"Mar-a-Lago Club","Mar-A-Lago is a resort and golf club located in Palm Beach, Florida. President Trump purchased Mar-a-Lago in 1985, turning it into a private club and golf course, managed by the Trump Organization, ten years later. The resort seems to be President Trump’s choice destination out of all of the properties he owns. In his first year in office, he spent more time there, a total of 52 days, than any other Trump-branded property. It is also a National Historic Landmark.",Active, "ProPublica","https://www.propublica.org/article/trump-inc-podcast-taxpayers-covered-liquor-bill-for-trump-staffers-and-more-mar-a-lago","05/01/2019","How Taxpayers Covered a $1,000 Liquor Bill for Trump Staffers (and More) at Trump’s Club"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "ProPublica","https://www.propublica.org/article/trump-inc-podcast-taxpayers-covered-liquor-bill-for-trump-staffers-and-more-mar-a-lago","05/01/2019","How Taxpayers Covered a $1,000 Liquor Bill for Trump Staffers (and More) at Trump’s Club"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Reuters","https://mobile.reuters.com/article/amp/idUSKCN1S80PP","05/01/2019","Exclusive: Foreign government leases at Trump World Tower stir more emoluments concerns"
"Capital One","",Active, "NPR","https://www.npr.org/2019/04/30/718597829/trump-sues-2-banks-to-block-democrats-from-investigating-his-finances","04/30/2019","Trump Sues 2 Banks To Block Democrats From Investigating His Finances"
"Capital One","",Active, "NPR","https://www.npr.org/2019/04/30/718597829/trump-sues-2-banks-to-block-democrats-from-investigating-his-finances","04/30/2019","Trump Sues 2 Banks To Block Democrats From Investigating His Finances"
